intertidal_sitename,cbsLat,cbsLong,georegion,bioregion,State_Province,Island,MPA_name,MPA_designation,NMS_name,ASBS_name,site_code,survey_rep,year,species_lump,total_count,number_of_quadrats_sampled,total_area_sampled_m2,density_per_m2
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Leptasterias spp,71,33,8.25,8.606060606
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Oedignathus inermis,1,33,8.25,0.121212121
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Acanthina paucilirata,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Acanthinucella spp,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Cancer antennarius,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Cancer branneri,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Cancer jordani,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Cancer oregonensis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Cancer productus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Cryptolithodes sitchensis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Cycloxanthops novemdentatus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Hemigrapsus nudus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Hemigrapsus oregonensis,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Lophopanopeus bellus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Loxorhynchus crispatus,0,33,8.25,0
Graves Harbor,58.27081667,-136.7314833,AK,Alaska to British Columbia,Alaska,Mainland,,,,,3001,1,2003,Oregonia gracilis,0,33,8.25,0
